"SPECIES","n"
"Chipping sparrow",318
"Black-bellied plover",317
"Hoary bat",304
"Franklin's gull",301
"Spotted dove",295
"Swamp sparrow",295
"American woodcock",291
"White-tailed jackrabbit",290
"Lincoln's sparrow",289
"Merlin",289
"Swainson's hawk",284
"Double-crested cormorant",278
"Palm warbler",274
"Wilson's warbler",274
"American redstart",262
"Northern flicker",258
"Cooper's hawk",255
"Crows",251
"Glaucous-winged gull",247
"Western gull",246
"Yellow warbler",246
"Northern harrier",245
"Eastern cottontail",244
"Yellow-bellied sapsucker",241
"Northern mockingbird",239
"Semipalmated sandpiper",237
"Blackpoll warbler",236
"Tennessee warbler",228
"Sandhill crane",224
"Woodchuck",222
"American goldfinch",219
"Free-tailed bats",217
"Great black-backed gull",215
"Raccoon",215
"Grasshopper sparrow",212
"Snow goose",211
"White-/golden-crown sparrow complex",208
"White-winged dove",205
"Grackles",202
"Great egret",200
"Green-winged teal",194
"Northern rough-winged swallow",190
"Silver-haired bat",189
"Lapland longspur",188
"Yellow bittern",188
"Yellow-billed cuckoo",188
"Black-crowned night heron",187
"Sora",187
"Eurasian skylark",185
"Dunlin",182
"Yellow-crowned night heron",181
"Northern shoveler",180
"Lark bunting",179
"New World wood-warblers",179
"Semipalmated plover",179
"Fox sparrow",178
"White-throated swift",174
"Turtles",171
"Common myna",170
"White-crowned sparrow",170
"Varied thrush",168
"Scaly-breasted munia",166
"Vesper sparrow",166
"Black-and-white warbler",161
"Gadwall",158
"Ducks, geese, swans",154
"Orange-crowned warbler",153
"Red-shouldered hawk",152
"Finches, euphonias",150
"Wild turkey",148
"American wigeon",147
"Evening bat",147
"Northern house wren",147
"Golden-crowned kinglet",146
"Veery",146
"Western tanager",146
"Northern parula",145
"Gopher snake",143
"Wood thrush",143
"Rough-legged hawk",142
"Wood duck",142
"Eastern kingbird",139
"Ruddy duck",139
"Indigo bunting",137
"Blue-gray gnatcatcher",136
"Nashville warbler",133
"Scarlet tanager",130
"Bay-breasted warbler",129
"Northern waterthrush",128
"Blue-winged teal",125
"Western flycatcher",124
"Eurasian collared dove",122
"Cave swallow",120
"Great-tailed grackle",119
"Greater white-fronted goose",119
"Lesser scaup",119
"Munias",119
"Ring-necked pheasant",119
"Black-throated blue warbler",118
"Boat-tailed grackle",118
"Gray-cheeked thrush",118
"Mountain bluebird",118
"Magnolia warbler",117
"Plovers",117
"Desert cottontail",116
"Brewer's blackbird",113
"White-tailed kite",111
"Brown pelican",108
"Warbling vireo",107
"Eastern wood-pewee",105
"American black duck",104
"Black-tailed prairie dog",104
"Buff-breasted sandpiper",101
"Chestnut munia",101
"Eastern phoebe",101
"Vaux's swift",101
"Field sparrow",100
"Common raven",99
"Loggerhead shrike",99
"Bonaparte's gull",98
"Baird's sandpiper",97
"Black-throated green warbler",97
"Diamondback terrapin",95
"Short-billed gull",95
"Alder/willow flycatcher complex",94
"Mule deer",93
"Anhinga",92
"Cape May warbler",92
"Pectoral sandpiper",92
"Ruby-throated hummingbird",92
"Rose-breasted grosbeak",89
"Yellow-breasted chat",89
"Chestnut-sided warbler",88
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras",86
"Bobolink",84
"Lark sparrow",84
"Pigeons, doves",83
"Rabbits",83
"Falcons, kestrels, falconets",82
"Ferruginous hawk",80
"Wrens",80
"Brant",78
"Least flycatcher",78
"Common snapping turtle",75
"Marsh wren",75
"Blackburnian warbler",74
"Broad-winged hawk",74
"Great crested flycatcher",74
"Spotted sandpiper",74
"Ring-necked duck",73
"Brewer's sparrow",72
"Brown thrasher",72
"Common ground dove",72
"Mallard/American black duck complex",72
"Herons",71
"Pied-billed grebe",71
"Sharp-shinned hawk",71
"Nine-banded armadillo",70
"Thrushes",70
"Barred owl",69
"Painted turtle",69
"Pine warbler",69
"Snowy egret",69
"Green heron",68
"Blue jay",67
"Violet-green swallow",67
"Baltimore oriole",66
"Dickcissel",66
"American tree sparrow",65
"Green iguana",65
"Sanderling",65
"Caspian tern",64
"Common tern",63
"Shorebirds",63
"Common loon",62
"Pine siskin",62
"Tyrant (New World) flycatchers",62
"Virginia rail",62
"American oystercatcher",61
"Blue-headed vireo",61
"Eastern towhee",61
